id	response	pielou_evenness
#q2:types	categorical	numeric
SRR6000938	NonResponder	0.76983744518021
SRR6000948	NonResponder	0.84091971541779
SRR6000941	NonResponder	0.787877097786723
SRR6000935	NonResponder	0.661771318695969
SRR6000934	NonResponder	0.707819908714171
SRR6000939	NonResponder	0.758751804938654
SRR6000904	NonResponder	0.770442083809998
SRR6000930	NonResponder	0.829800382309076
SRR6000929	NonResponder	0.532627246247714
SRR6000927	NonResponder	0.75758366173306
SRR6000926	NonResponder	0.785586149007779
SRR6000924	NonResponder	0.820899121922739
SRR6000923	NonResponder	0.666903486770789
SRR6000922	NonResponder	0.722671874845358
SRR6000886	NonResponder	0.759781347019074
SRR6000887	NonResponder	0.767810259039084
SRR6000882	NonResponder	0.704536063785502
SRR6000883	NonResponder	0.738661747074322
SRR6000889	NonResponder	0.828736709514949
SRR6000918	NonResponder	0.716624204191316
SRR6000917	NonResponder	0.727595241683483
SRR6000914	NonResponder	0.830612095915194
SRR6000915	NonResponder	0.79150676260996
SRR6000897	NonResponder	0.766557432087453
SRR6000875	NonResponder	0.662413559509275
SRR6000876	NonResponder	0.652162189515848
SRR6000937	Responder	0.874192310120485
SRR6000936	Responder	0.645159562153914
SRR6000933	Responder	0.742908223783077
SRR6000925	Responder	0.778053735331594
SRR6000919	Responder	0.780596513825703
SRR6000884	Responder	0.686111911807512
SRR6000885	Responder	0.743070226256624
SRR6000880	Responder	0.625244306553353
SRR6000881	Responder	0.77973657465698
SRR6000888	Responder	0.655795402706759
SRR6000872	Responder	0.788774043087021
SRR6000913	Responder	0.734162655765508
SRR6000916	Responder	0.628178235461144
SRR6000898	Responder	0.83732893995154
